Inference for Stan model: Matern32Poisson_SDE_reparametrized_model
1 chains: each with iter=(1000); warmup=(0); thin=(1); 1000 iterations saved.

Warmup took (64) seconds, 1.1 minutes total
Sampling took (56) seconds, 56 seconds total

                    Mean     MCSE   StdDev        5%       50%       95%  N_Eff  N_Eff/s    R_hat
x_shock[65]     4.7e-001 2.7e-002 8.6e-001 -9.2e-001  5.0e-001  1.9e+000   1000 1.8e+001 1.0e+000
x_shock[66]     5.8e-001 2.9e-002 9.1e-001 -9.0e-001  6.0e-001  2.1e+000   1000 1.8e+001 1.0e+000
x_shock[67]     3.7e-001 3.0e-002 9.4e-001 -1.2e+000  3.7e-001  1.9e+000   1000 1.8e+001 1.0e+000
x_shock[68]    -1.5e-001 2.9e-002 9.1e-001 -1.6e+000 -1.6e-001  1.3e+000   1000 1.8e+001 1.0e+000
x_shock[69]    -4.2e-001 2.8e-002 8.8e-001 -1.9e+000 -4.3e-001  1.2e+000   1000 1.8e+001 1.0e+000
x_shock[70]    -4.2e-001 2.9e-002 9.2e-001 -2.0e+000 -4.1e-001  1.0e+000   1000 1.8e+001 1.0e+000
x_shock[71]    -3.7e-001 2.9e-002 9.1e-001 -1.9e+000 -3.9e-001  1.1e+000   1000 1.8e+001 1.0e+000
x_shock[72]    -2.9e-001 2.7e-002 8.6e-001 -1.8e+000 -2.8e-001  1.1e+000   1000 1.8e+001 1.0e+000
x_shock[73]    -3.2e-001 2.8e-002 8.8e-001 -1.8e+000 -3.3e-001  1.1e+000   1000 1.8e+001 1.0e+000
x_shock[74]    -6.2e-001 3.1e-002 9.9e-001 -2.4e+000 -5.6e-001  9.6e-001   1000 1.8e+001 1.0e+000
x_shock[75]    -6.8e-001 3.1e-002 9.9e-001 -2.3e+000 -7.1e-001  9.6e-001   1000 1.8e+001 1.0e+000
x_shock[76]    -7.2e-001 3.1e-002 9.9e-001 -2.4e+000 -7.4e-001  9.6e-001   1000 1.8e+001 1.0e+000
x_shock[77]    -7.0e-001 2.9e-002 9.3e-001 -2.1e+000 -6.8e-001  7.8e-001   1000 1.8e+001 1.0e+000
x_shock[78]    -7.4e-001 2.9e-002 9.2e-001 -2.3e+000 -6.9e-001  8.0e-001   1000 1.8e+001 1.0e+000
x_shock[79]    -6.4e-001 2.9e-002 9.2e-001 -2.2e+000 -6.4e-001  9.4e-001   1000 1.8e+001 1.0e+000
x_shock[80]    -4.2e-001 3.1e-002 9.9e-001 -2.1e+000 -4.2e-001  1.2e+000   1000 1.8e+001 1.0e+000
x_shock[81]    -2.1e-001 3.0e-002 9.5e-001 -1.9e+000 -2.2e-001  1.4e+000   1000 1.8e+001 1.0e+000
x_shock[82]    -3.5e-002 2.9e-002 9.1e-001 -1.4e+000 -9.5e-002  1.5e+000   1000 1.8e+001 1.0e+000
x_shock[83]     1.7e-001 2.9e-002 9.3e-001 -1.3e+000  1.8e-001  1.7e+000   1000 1.8e+001 1.0e+000
